# $Id: sensors.dat 359 2006-09-16 08:06:36Z jim $
#
# This file is used by some EXIF functions of phpgraphy
# Get last release at http://phpgraphy.sourceforge.net
#
# It's used to calculate the 35mm film equivalent of a given focal lenght
# For that it use the diagonal of the sensor size, see some examples below:
#
#       Size    Width  Height  Diagonal
#
#       1/3.2"  4.536  3.416   5.680
#       1/2.7"  5.371  4.035   6.721
#       1/2.5"  5.760  4.290   7.182
#       1/1.8"  7.176  5.319   8.933  
#       1/1.7"  7.600  5.700   9.500
#         2/3"  8.800  6.600   11.0
#       APS-C   23.7   15.7    28.428  (But this varies depending the brandt)
#    35mm film  36.0   24.0    43.3
#
# For more details about sensor sizes, you can read this nice article:
# http://www.dpreview.com/learn/?/key=sensor_sizes
#
# Lines beginning with a # or with a space are considered as comments
# Format is: Make|Model|SensorSize (Where Make and Model are found in the exif header)
#
# Your camera isn't listed here ?
# Please contact me by sending me an email (jim [at] aegis [dash] corp [dot] org) and
# include an URL pointing to a picture taken with the given camera so I can perform 
# some tests.
#

Minolta Co., Ltd.|DiMAGE S404|8.933
Minolta Co., Ltd.|DiMAGE S414|8.933
Minolta Co., Ltd.|DiMAGE Z1|6.721
Minolta Co., Ltd.|DiMAGE Z2|6.721
NIKON CORPORATION|NIKON D70|28.4
NIKON CORPORATION|NIKON D1X|28.4
NIKON CORPORATION|NIKON D2X|28.4
NIKON|E2500|6.592
NIKON|E4500|8.933
NIKON|E5000|11.0
NIKON|E5700|11.0
NIKON|E700|6.592
NIKON|E775|6.592
NIKON|E800|8.0
NIKON|E880|8.933
NIKON|E885|8.933
NIKON|E950|8.0
NIKON|E990|8.933
NIKON|E995|8.933
OLYMPUS OPTICAL CO.,LTD|C2040Z
OLYMPUS OPTICAL CO.,LTD|C3030Z
OLYMPUS OPTICAL CO.,LTD|C4100Z,C4000Z|8.933
OLYMPUS OPTICAL CO.,LTD|C5050Z|8.933
OLYMPUS OPTICAL CO.,LTD|E-10|11.0
OLYMPUS OPTICAL CO.,LTD|E-20|11.0
SEIKO EPSON CORP.|PhotoPC 3000Z|8.933
SIGMA|SIGMA SD10|24.878
SONY|DSC-F828|11.0
SONY|DSC-D700|8.0
SONY|DSC-F88|6.721
SONY|DSC-H1|6.721
SONY|DSC-H2|7.182
SONY|DSC-H5|7.182
SONY|DSC-L1|6.721
SONY|DSC-P150|8.933
SONY|DSC-P200|8.933
SONY|DSC-R1|25.877
SONY|DSC-S90|6.721
SONY|DSC-V1|8.933
SONY|DSC-V3|8.933
SONY|DSC-W1|8.933
SONY|DSC-W5|8.933
SONY|DSC-W7|8.933
SONY|DSLR-A100|28.4
